pergunta,resposta
Qual é o prazo de entrega dos produtos?,O prazo de entrega padrão é de 5 a 10 dias úteis para todo o Brasil. Para capitais, o prazo pode ser reduzido para 3 a 5 dias úteis. Compras acima de R$ 300 têm frete grátis.
Como faço para trocar um produto com defeito?,Você tem até 30 dias corridos após o recebimento para solicitar a troca de um produto com defeito de fabricação. Basta acessar 'Meus Pedidos' no site, selecionar o item e escolher a opção 'Solicitar troca'. O produto será recolhido gratuitamente em sua residência.
Qual é a política de devolução da TechStore?,"De acordo com o Código de Defesa do Consumidor, você pode desistir da compra em até 7 dias corridos após o recebimento, sem necessidade de justificativa. O reembolso é feito no mesmo método de pagamento utilizado."
Quais são as formas de pagamento aceitas?,"Aceitamos cartão de crédito (em até 12x sem juros), cartão de débito, Pix (com 5% de desconto) e boleto bancário. Não trabalhamos com pagamento na entrega."
Os produtos possuem garantia?,"Sim, todos os produtos possuem garantia legal de 90 dias contra defeitos de fabricação. Produtos eletrônicos como notebooks e smartphones possuem garantia estendida de 12 meses do fabricante."
Como acompanho o status do meu pedido?,"Você pode acompanhar seu pedido em tempo real na seção 'Meus Pedidos' do site ou aplicativo, usando o número do pedido enviado por e-mail. Também enviamos atualizações por SMS e e-mail a cada etapa."
A TechStore entrega em todo o Brasil?,"Sim, entregamos para todos os estados brasileiros. Áreas rurais ou de difícil acesso podem ter prazo estendido em até 5 dias úteis adicionais."
Posso cancelar um pedido após a compra?,"Sim, pedidos podem ser cancelados gratuitamente enquanto estiverem com status 'Em separação'. Após o envio, é necessário aguardar o recebimento e solicitar devolução."
Como funciona o programa de fidelidade TechPoints?,"A cada R$ 1 gasto, você acumula 1 TechPoint. Ao atingir 500 pontos, você ganha um cupom de R$ 25 de desconto. Os pontos são creditados 7 dias após a confirmação do pagamento."
Vocês vendem produtos internacionais?,"Sim, temos a linha TechStore Import, com produtos importados que passam por certificação da Anatel. O prazo de entrega desses itens é de 15 a 25 dias úteis."
Como entro em contato com o suporte?,"O suporte está disponível por chat no site (24h), e-mail suporte@techstore.com.br (resposta em até 24h úteis) e telefone 0800 123 4567 (dias úteis, das 8h às 20h)."
Existe assistência técnica própria?,"Sim, a TechStore possui assistência técnica autorizada em todas as capitais. Para produtos fora da garantia, o orçamento é gratuito e o reparo tem garantia de 90 dias sobre o serviço realizado."
